object_id,title,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,alt_text
id_objeto,titulo,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,texto_alt
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
479cf48c4bff7a467352016ad1af91a0a0cf326a,Detail of Lanzon Stela (photo),,,,,,,,,Smarthistory.org,"Cyark, CC BY-SA 3.0",,Detail of Lanzon Stela (photo)
9ad38092fbedc3b39b0a76617d8bb857acfb6a4a,Lanzon,,,Photograph of Lanzon stela at Chavin de Huantar,,,,,,Smarthistory.org,"Cyark, CC BY-SA 3.0)",,Lanzon
chavin-horizonoldtemplec700-c500bce,Carved Tenon Head from Old Temple at Chavin de Huantar,,,Carved Tenon Head from Old Temple at Chavin de Huantar,,,,,,jstor,,,Carved Tenon Head from Old Temple at Chavin de Huantar
chavinraimondistelac-600,Raimondi Stela,,,Raimondi Stela from Chavin de Huantar,,,,,,jstor,,,Raimondi Stela
chavinraimondistelac-600-2,Raimondi Stela,,,Raimondi Stela from Chavin de Huantar,,,,,,jstor,,,Raimondi Stela
hb1987394704diagramtogether,Painted Textile Fragment and Painted Textile Fragment with drawing,,,"Textile Fragment, Chavin Culture, Peru, Cotton 14.6 x 13.1 cm from Metropolitan Museum of Art, drawing by Dr. Sarahh Scher, CC BY-NC 4.0",,,,,,Smarthistory.org and Metropolitan Museum of Art,"Metropolitan Museum of Art, drawing by Dr. Sarahh Scher, CC BY-NC 4.0",,hb_1987.394.704-diagram-together
lanzondrawing,Drawing of Lanzon,,,Drawing of Lanzon in Old Temple at Chavin de Huantar,,,,,,Smarthistory.org,Richard Burger and Luis Caballero,,Drawing of Lanzon
monolithellanzonnd,Chavin de Huantar,,,,,Early Horizon,,,,,jstor,,Chavin de Huantar
newsgmapgoogle,Chavin de Huantar Archaeological Site Location,,,,,,,,,google earth,,,Chavin de Huantar Archaeological Site Location
oldtemple2000,Lanzon in Old Temple,,,,,,,,,jstor,,,Lanzon in Old Temple
pcb440s1-1,Bimetallic Effigy Spoon,,,PC.B.440,,,,,,Dumbarton Oaks Museum,Dumbarton Oaks Museum,,Bimetallic Effigy Spoon
pcb544s1,Textile Fragment with Chavin Deity Imagery,,,"Dumbarton Oaks Museum, PC.B.544 
Painted Cotton textile fragment with Chavin Principal Deity",,,,,,Dumbarton Oaks Museum,,,Textile Fragment with Chavin Deity Imagery
pcb562s1,Pyro-engraved gourd with Chavin style imagery,,,"Dumbarton Oaks Museum PC.B.562 
P",,,,,,Dumbarton Oaks Museum,Dumbarton Oaks Museum,,Pyro-engraved gourd with Chavin style imagery
pcb604s1,Gold Sheet Metal,,,PC.B.604 sheet gold with Chavin imagery,,,,,,Dumbarton Oaks Museum,,,Gold Sheet Metal
petersonchavndehuantarnd,Architectural Plan of Old and New Temples at Chavin de Huantar,,,,,,,,,jstor,,,Architectural Plan of Old and New Temples at Chavin de Huantar
pututuedited,Carved Strombus Shell Trumpet (Pututu),,,Carved strombus shell trumpet with Chavin imagery,,,,,,"Smarthistory.org, Museo Nacional de Chavín, photo: Dr. Sarahh Scher, CC BY-NC 4.0)","Museo Nacional de Chavín, photo: Dr. Sarahh Scher, CC BY-NC 4.0",,Carved Strombus Shell Trumpet (Pututu)
south-americannewtemplemonumental800-bc,New Temple,,,Photo of New Temple columns at Chavin de Huantar,,Early Horizon,,,,jstor,,,New Temple
telar-placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,Telar placeholder
telloobeliskref400200-bc,Tello Obelisk (drawing),,,Tello Obelisk. Carved stone obelisk from Chavin de Huantar. Named for Julio C. Tello the father of Peruvian archaeology.,,,,,,jstor,,,Tello Obelisk (drawing)
telloobeliskref900200-bc,Detail Tello Obelisk (lower res),,,Detail of Tello Obelisk,,,,,,jstor,,,Detail Tello Obelisk (lower res)
